BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
life,solid cotton blend collar neck womens a-line dress - indigo,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1699.0,849.0,0.5,Westernwear
only,polyester peter pan collar womens blouson dress - yellow,"['34', '36', '38', '40']",3499.0,2449.0,0.3,Westernwear
fratini,solid polyester blend wide neck womens regular top - off white,"['Large', 'X-Large', 'XX-Large']",1199.0,599.0,0.5,Westernwear
zink london,stripes polyester sweetheart neck womens dress - black,"['Large', 'Medium', 'Small', 'X-Large']",2299.0,1379.0,0.4,Westernwear
life,regular fit regular length denim womens jeans - stone,"['26', '28', '30', '32', '34', '36']",1699.0,849.0,0.5,Westernwear
kraus,wide ankle length cotton womens jeans - light blue,"['26', '28', '30', '32', '34']",1795.0,1615.0,0.1,Westernwear
life,printed cotton blend collared womens regular dress - white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1299.0,649.0,0.5,Westernwear
fratini,embroidered wide neck polyester womens regular top - blush,['XX-Large'],1299.0,649.0,0.5,Westernwear
rare,floral polyester v neck womens flared dress - navy,"['Large', 'Medium', 'Small', 'X-Large']",2099.0,839.0,0.6,Westernwear
rare,checks cotton boat neck womens regular top - black,"['Medium', 'Small', 'X-Large']",1499.0,599.0,0.6,Westernwear
life,solid square neck cotton womens regular dress - pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1499.0,749.0,0.5,Westernwear
life,regular fit regular length denim womens jeans - indigo,"['26', '28', '30', '32', '34', '36']",999.0,499.0,0.5,Westernwear
life,printed blended round neck womens shift dress - orange,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1499.0,749.0,0.5,Westernwear
life,printed jersey round neck womens t-shirt - black,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",599.0,299.0,0.5,Westernwear
life,printed crepe square neck womens top - blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",999.0,499.0,0.5,Westernwear
life,solid cotton collar neck womens shirt - pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1199.0,599.0,0.5,Westernwear
life,solid cotton lycra round neck womens t-shirt - white,"['Large', 'Medium', 'Small', 'X-Small']",599.0,299.0,0.5,Westernwear
life,printed cotton collar neck womens shirt - white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1299.0,649.0,0.5,Westernwear
van heusen,solid cotton v neck womens formal shirt - maroon,"['Large', 'Small', 'X-Small']",1999.0,799.0,0.6,Westernwear
life,regular fit regular length denim womens jeans - mid stone,"['26', '28', '30', '32', '34', '36']",1999.0,999.0,0.5,Westernwear
fratini,solid round neck viscose womens regular dress - olive,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1499.0,749.0,0.5,Westernwear
life,solid wide neck viscose womens regular top - blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1299.0,649.0,0.5,Westernwear
stop,printed regular neck cotton womens formal shirt - ecru,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",799.0,399.0,0.5,Westernwear
life,regular fit regular length denim womens jeans - mid stone,"['26', '28', '30', '32', '34', '36']",1999.0,999.0,0.5,Westernwear
zink london,floral viscose sweetheart neck womens dress - green,"['Medium', 'Small', 'X-Small', 'XX-Large']",2799.0,1679.0,0.4,Westernwear
life,printed viscose v neck womens regular woven top - off white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1199.0,599.0,0.5,Westernwear
life,printed cotton blend v neck womens top - pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",999.0,499.0,0.5,Westernwear
stop,printed regular neck cotton womens formal shirt - black,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",899.0,449.0,0.5,Westernwear
life,printed cotton blend round neck womens t-shirt - white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",999.0,499.0,0.5,Westernwear
life,embroidered viscose square neck womens regular top - white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1199.0,599.0,0.5,Westernwear
life,regular fit regular length denim womens jeans - indigo,"['26', '28', '30', '32', '34', '36', 'Medium']",1699.0,849.0,0.5,Westernwear
life,printed cotton lycra round neck womens t-shirt - pink mix,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",699.0,349.0,0.5,Westernwear
cover story,solid round neck cotton womens regular dress - dark brown,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",2890.0,1445.0,0.5,Westernwear
infuse,printed square neck rayon womens dress - pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1999.0,999.0,0.5,Westernwear
allen solly,solid rayon regular fit womens trousers - black,"['26', '28', '30', '32', '34', '36']",1299.0,1039.0,0.2,Westernwear
